2020-05-12 05:59:48 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 11:43:04 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 12:38:27 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 02:01:22 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 02:07:07 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 02:23:54 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 02:24:08 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 03:36:22 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 03:38:12 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 11:35:07 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-14 11:35:18 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-15 12:40:52 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-19 03:02:28 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-19 03:36:26 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-19 03:36:36 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-05-19 03:42:26 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
