2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (61, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (110, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (159, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (208, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (257, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1438) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1389) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1340) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1291) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1242) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1193) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1144) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1095) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 1046) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 997) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 948) for path existence...
2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 899) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 850) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 850) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 850) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (289, 844) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (289, 844) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (294, 839) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (294, 839) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (300, 838) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (300, 838) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (310, 838) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (310, 838) for path existence...
2020-06-28 01:14:11 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (316, 839) for path existence...
